login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
redvulps,https://github.com/redvulps,13.0,4.0,3.25,12.0,96.0,4.0,11082.0,0
humiaozuzu,https://github.com/humiaozuzu,698.0,76.0,9.18421052631579,28.0,2.0,15372.0,174174.0,0
Centechterry,https://github.com/Centechterry,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jeremyrlim,https://github.com/Jeremyrlim,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dbdraper,https://github.com/dbdraper,3.0,1.0,3.0,2.0,0.0,2.0,2292.0,0
jamesbaggett,https://github.com/jamesbaggett,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pabloacastillo,https://github.com/pabloacastillo,67.0,70.0,0.9571428571428572,13.0,4.0,36.0,2193151.0,0
p2program,https://github.com/p2program,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scruffy,https://github.com/Scruffy,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stevewininger,https://github.com/stevewininger,3.0,0.0,0.0,2.0,0.0,2.0,23441.0,0
fat2002,https://github.com/fat2002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fathermojo,https://github.com/fathermojo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lypheus,https://github.com/Lypheus,5.0,0.0,0.0,5.0,0.0,1.0,48372.0,0
ppanyukov,https://github.com/ppanyukov,14.0,3.0,4.666666666666667,61.0,0.0,15.0,3393801.0,0
petervd,https://github.com/petervd,4.0,3.0,1.3333333333333333,39.0,0.0,0.0,575743.0,0
givella76,https://github.com/givella76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
donburks-zz,https://github.com/donburks-zz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zaffar1975,https://github.com/Zaffar1975,3.0,0.0,0.0,6.0,0.0,0.0,487593.0,0
Qwark,https://github.com/Qwark,4.0,1.0,4.0,3.0,0.0,0.0,195451.0,0
amrwm,https://github.com/amrwm,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
brettschultz,https://github.com/brettschultz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
vih,https://github.com/vih,2.0,0.0,0.0,91.0,0.0,11.0,925012.0,0
marvins,https://github.com/marvins,12.0,8.0,1.5,24.0,62.0,15.0,1529179.0,0
tanoc,https://github.com/tanoc,7.0,0.0,0.0,1.0,146.0,0.0,246.0,0
carzil,https://github.com/carzil,49.0,24.0,2.0416666666666665,19.0,840.0,46.0,37668.0,0
wilsonmar,https://github.com/wilsonmar,545.0,227.0,2.4008810572687223,456.0,1373.0,37.0,352094.0,0
